,BLP-type,,,,,,,,,,,,Spatial,,Fanyin's,,OLS,
,"estimate (500,7000)","significance (500,7000)","estimate (500,8000)","significance (500,8000)","estimate (1000,7000)","significance (1000,7000)","estimate (1000,8000)","significance (1000,8000)","estimate (1500,7000)","significance (1500,7000)","estimate (1500,8000)","significance (1500,8000)","Spatial (1500,7500)",significance,fy(7500),significance,OLS,significance
c_time,-0.2422,,-0.2181,,-0.2464,,-0.2272,,-0.2346,,-0.2171,,-0.2518,,-0.2291,,-0.2092,
,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***
c_avg_tan_abs,-3.4942,,-3.1751,,-4.1017,,-3.6638,,-4.0431,,-3.011,,-2.7883,,-5.003,,-2.1717,
,0.79,***,0.79,***,0.81,***,0.79,***,0.79,***,0.79,***,0.8,***,0.98,***,0.77,***
o_bus_time,-0.0197,,-0.0363,,-0.0246,,-0.0331,,-0.0247,,-0.0334,,-0.0068,,-0.0224,,-0.023,
,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***,0.01,***,0,***,0.01,***,0,***
o_sum_transit_stations,0.0068,,0.0076,,0.0071,,0.0083,,0.0084,,0.0037,,0.0047,,0.0029,,0.005,
,0,***,0,***,0,***,0,***,0,***,0,**,0,***,0,,0,***
c_const,2.2307,,3.4242,,3.1455,,3.864,,4.135,,3.3557,,1.3664,,2.6898,,2.2578,
,1.54,,1.53,**,1.55,**,1.55,**,1.54,***,1.55,**,1.58,,1.64,,1.53,
d_const,4.8411,,4.7087,,5.5795,,5.4385,,5.8472,,4.9896,,5.3532,,4.5527,,4.2991,
,1.5,***,1.5,***,1.5,***,1.51,***,1.5,***,1.52,***,1.5,***,1.58,***,1.48,***
d_with_vehicle_hh,0.5352,,0.4456,,0.5123,,0.4073,,0.5845,,0.7807,,0.6128,,1.4466,,0.6561,
,0.22,**,0.22,**,0.22,**,0.22,*,0.22,***,0.22,***,0.23,***,0.25,***,0.22,***
one_sum_movie_theater,-0.536,,-0.5303,,-0.579,,-0.5557,,-0.5341,,-0.4878,,-0.4532,,-0.5014,,-0.4327,
,0.06,***,0.06,***,0.06,***,0.06,***,0.06,***,0.06,***,0.07,***,0.07,***,0.06,***
one_sum_park,-1.0146,,-1.1013,,-1.1485,,-1.1297,,-1.356,,-1.1886,,-0.5626,,-0.3302,,-0.7773,
,0.58,*,0.57,*,0.59,*,0.58,*,0.59,**,0.58,**,0.58,,0.68,,0.57,
one_sum_restaurant,-0.4484,,-0.9859,,-1.1323,,-1.4058,,-1.2465,,-1.4988,,-1.0608,,-1.2365,,-0.9227,
,1.38,,1.37,,1.39,,1.39,,1.38,,1.4,,1.4,,1.42,,1.39,
one_sum_shopping_mall,-0.0499,,-0.0639,,-0.0913,,-0.0738,,-0.0765,,-0.0544,,-0.0351,,0.0062,,0.0063,
,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,
one_sum_supermarket,-0.2753,,-0.2069,,-0.2955,,-0.2569,,-0.2555,,-0.2053,,-0.2095,,-0.379,,-0.1825,
,0.06,***,0.06,***,0.06,***,0.06,***,0.06,***,0.06,***,0.06,***,0.07,***,0.06,***
one_sum_bakery,-0.162,,-0.1553,,-0.1876,,-0.0905,,-0.176,,-0.0975,,0.0645,,-0.0285,,-0.0013,
,0.19,,0.19,,0.2,,0.19,,0.19,,0.19,,0.19,,0.2,,0.19,
one_sum_bar,1.3494,,1.0844,,1.2151,,1.0766,,1.2111,,1.2609,,1.3493,,1.3151,,1.3406,
,0.3,***,0.31,***,0.31,***,0.31,***,0.31,***,0.3,***,0.31,***,0.3,***,0.3,***
one_sum_university,0.1499,,0.1294,,0.1128,,0.1165,,0.1302,,0.1498,,0.1684,,0.1275,,0.2028,
,0.1,,0.1,,0.1,,0.1,,0.1,,0.09,,0.1,*,0.09,,0.09,**
one_sum_hospital,-0.1347,,-0.1089,,-0.1294,,-0.1133,,-0.0899,,-0.1064,,-0.1295,,-0.0527,,-0.0666,
,0.08,,0.08,,0.09,,0.08,,0.08,,0.08,,0.09,,0.09,,0.08,
one_sum_library,-0.2818,,-0.2578,,-0.2445,,-0.2452,,-0.2489,,-0.2705,,-0.266,,-0.3526,,-0.2673,
,0.06,***,0.06,***,0.07,***,0.06,***,0.06,***,0.06,***,0.07,***,0.07,***,0.06,***
d_sum_median_hh_income,0.0082,,0.0146,,0.0121,,0.014,,0.0129,,0.0068,,0.0024,,-0.0137,,0.0046,
,0.01,,0.01,**,0.01,**,0.01,**,0.01,**,0.01,,0.01,,0.01,**,0.01,
d_drive_time,-0.2774,,-0.1741,,-0.2483,,-0.1977,,-0.2548,,-0.1868,,-0.3553,,-0.2622,,-0.245,
,0.03,***,0.04,***,0.03,***,0.04,***,0.04,***,0.04,***,0.01,***,0.03,***,0.01,***
c_bl_proportion,2.738,,1.8326,,4.1489,,2.5558,,2.1486,,2.1177,,2.8726,,2.3232,,-0.1241,
,0.61,***,0.64,***,0.66,***,0.63,***,0.66,***,0.62,***,1.51,*,0.95,**,0.18,
Cragg-Donald Statistics,31.24,,28.36,,31.33,,29.43,,30.89,,29.97,,,,,,,
