,"estimate (500,7000)","significance (500,7000)","estimate (500,8000)","significance (500,8000)","estimate (1000,7000)","significance (1000,7000)","estimate (1000,8000)","significance (1000,8000)","estimate (1500,7000)","significance (1500,7000)","estimate (1500,8000)","significance (1500,8000)"
c_const,0.9617,,2.3614,,2.0078,,2.857,,3.3606,,3.9285,
,2.57,,2.43,,2.47,,2.43,,2.45,,2.46,
c_time,-0.2406,***,-0.2189,***,-0.2464,***,-0.2206,***,-0.2308,***,-0.214,***
,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
avg_tan_abs,-3.0067,***,-2.6596,***,-3.4079,***,-2.7376,***,-3.1848,***,-2.8355,***
,0.8,,0.79,,0.82,,0.8,,0.79,,0.79,
d_const,4.0802,***,3.9695,**,4.321,***,4.1129,***,4.3183,***,4.2857,***
,1.52,,1.55,,1.51,,1.57,,1.51,,1.58,
d_with_vehicle_hh,0.5818,***,0.5964,***,0.6167,***,0.571,***,0.7396,***,0.679,***
,0.22,,0.22,,0.22,,0.22,,0.22,,0.22,
bus_time,-0.0169,***,-0.0304,***,-0.0192,***,-0.0333,***,-0.0227,***,-0.0342,***
,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
sum_transit_stations,0.0039,***,0.004,***,0.0034,**,0.004,***,0.0038,***,0.0038,***
,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
d_sum_median_hh_income,0.0099,,0.0146,**,0.0104,*,0.0142,**,0.0124,**,0.014,**
,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
c_one_sum_movie_theater,-0.6364,***,-0.5948,***,-0.6886,***,-0.6241,***,-0.5867,***,-0.5706,***
,0.1,,0.1,,0.11,,0.1,,0.1,,0.1,
c_one_sum_park,-0.9345,,-1.012,,-1.0241,,-1.1893,,-1.5229,,-1.6485,
,1.04,,1.03,,1.06,,1.05,,1.05,,1.05,
c_one_sum_restaurant,-1.0036,,-2.0147,,-2.0136,,-2.5348,,-2.3373,,-2.6625,
,2.36,,2.21,,2.24,,2.2,,2.22,,2.23,
c_one_sum_shopping_mall,0.1188,,0.1366,,0.0706,,0.0956,,0.1284,,0.121,
,0.11,,0.11,,0.12,,0.11,,0.11,,0.11,
c_one_sum_supermarket,-0.3714,***,-0.2999,***,-0.3845,***,-0.3574,***,-0.344,***,-0.3304,***
,0.11,,0.1,,0.11,,0.11,,0.1,,0.1,
c_one_sum_bakery,0.0804,,0.1937,,0.0176,,0.1703,,-0.0636,,0.0726,
,0.34,,0.34,,0.35,,0.34,,0.34,,0.34,
c_one_sum_bar,1.9521,***,1.7773,***,1.8185,***,1.7711,***,1.998,***,1.8118,***
,0.52,,0.52,,0.52,,0.52,,0.52,,0.52,
c_one_sum_university,0.7002,***,0.6629,***,0.6569,***,0.6537,***,0.6954,***,0.6684,***
,0.16,,0.16,,0.17,,0.16,,0.16,,0.16,
c_one_sum_hospital,-0.3923,***,-0.3588,**,-0.4369,***,-0.3932,***,-0.3932,***,-0.3946,***
,0.14,,0.14,,0.15,,0.14,,0.14,,0.14,
c_one_sum_library,-0.124,,-0.1069,,-0.0508,,-0.075,,-0.1282,,-0.1588,
,0.11,,0.11,,0.11,,0.11,,0.11,,0.11,
d_one_sum_movie_theater,-0.3556,***,-0.3901,***,-0.364,***,-0.4115,***,-0.3714,***,-0.4171,***
,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,
d_one_sum_park,-0.5303,,-0.7077,,-0.5401,,-0.7728,*,-0.5557,,-0.7986,*
,0.47,,0.47,,0.47,,0.47,,0.47,,0.47,
d_one_sum_restaurant,0.3678,,0.1382,,0.034,,-0.122,,-0.1667,,-0.3558,
,1.45,,1.48,,1.44,,1.49,,1.44,,1.51,
d_one_sum_shopping_mall,-0.1885,***,-0.2315,***,-0.2073,***,-0.2162,***,-0.2085,***,-0.2126,***
,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,
d_one_sum_supermarket,-0.12,*,-0.0838,,-0.1032,,-0.0924,,-0.0946,,-0.0854,
,0.07,,0.06,,0.06,,0.07,,0.06,,0.07,
d_one_sum_bakery,-0.0969,,-0.3076,*,-0.0944,,-0.2916,,-0.1328,,-0.2739,
,0.18,,0.19,,0.18,,0.18,,0.18,,0.19,
d_one_sum_bar,0.9685,***,0.8403,***,0.8868,***,0.7951,***,0.8673,***,0.7345,***
,0.28,,0.28,,0.28,,0.28,,0.28,,0.28,
d_one_sum_university,-0.3606,***,-0.3639,***,-0.3649,***,-0.3443,***,-0.343,***,-0.3184,***
,0.09,,0.09,,0.09,,0.09,,0.09,,0.09,
d_one_sum_hospital,0.0993,,0.1407,*,0.114,,0.1542,*,0.1327,,0.1703,**
,0.08,,0.08,,0.08,,0.08,,0.08,,0.08,
d_one_sum_library,-0.3968,***,-0.3599,***,-0.3869,***,-0.353,***,-0.3876,***,-0.3797,***
,0.07,,0.07,,0.07,,0.07,,0.07,,0.07,
d_drive_time,-0.2901,***,-0.2088,***,-0.2753,***,-0.1863,***,-0.2582,***,-0.1812,***
,0.03,,0.04,,0.03,,0.04,,0.04,,0.04,
c_bl_proportion,2.8702,***,1.8817,***,4.3507,***,2.9137,***,2.2739,***,1.9598,***
,0.6,,0.64,,0.65,,0.63,,0.64,,0.62,
